Fon Kodu,Fon Adı,Fon Tipi,Fon Türü,1 Ay (%),3 Ay (%),6 Ay (%),Yılbaşı (%),1 Yıl (%),3 Yıl (%),5 Yıl (%),İlk Fiyat (TL),Son Fiyat (TL),Günlük Getiri (%),Pay (Adet),Fon Toplam Değer (TL),Kategorisi,Yatırımcı Sayısı (Kişi),Pazar Payı(%),Borsa Yatırım Fonları Katılma Payları(%),Devlet Tahvili(%),Diğer(%),Döviz Cinsi Kamu İç Borçlanma Araçları(%),Finansman Bonosu(%),Gayrimenkul Yatırım Fonları Katılma Payları(%),Girişim Sermayesi Yatırım Fonları Katılma Payları(%),Hazine Bonosu(%),Hisse Senedi(%),Katılma Hesabı(Altın),Katılma Hesabı(TL)(%),Katılma Hesabı(Döviz)(%),Kamu Yurt Dışı Kira Sertifikaları(%),Kamu Dış Borçlanma Araçları(%),Kamu Kira Sertifikaları Döviz (%),Kamu Kira Sertifikaları TL (%),Kıymetli Madenler Cinsinden BYF(%),Kıymetli Madenler Cinsinden İhraç Edilen Kamu Kira Sertifikaları(%),Kıymetli Madenler Cinsinden İhraç Edilen Kamu Borçlanma Araçları(%),Kıymetli Madenler(%),Mevduat Döviz(%),Mevduat (TL)(%),Özel Sektör Dış Borçlanma Araçları(%),Özel Sektör Kira Sertifikaları(%),Özel Sektör Tahvili(%),Özel Sektör Yurt Dışı Kira Sertifikaları(%),Repo(%),Takasbank Para Piyasası(%),Ters-Repo(%),Vadeli İşlemler Nakit Teminatları(%),Varlığa Dayalı Menkul Kıymetler (%),Yabancı Borsa Yatırım Fonları(%),Yabancı Hisse Senedi(%),Yabancı Kamu Borçlanma Araçları(%),Yabancı Özel Sektör Borçlanma Araçları(%),Yatırım Fonları Katılma Payları(%),Toplam(%)
DZE,DENİZ PORTFÖY BIST 100 ENDEKSİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),Menkul Kıymet Yatırım Fonları,Hisse Senedi Şemsiye Fonu,-3.0812,-7.5691,13.9298,34.3201,26.9634,633.9213,886.9481,,0.7041,-0.5950,"384,264,400","270,576,034.16",Hisse Senedi Fonu,"3,924",0.16,,,,,,,,,97.12,,,,,,,,,,,,,0.29,,,,,,,2.59,,,,,,,,100.00
IMF,İSTANBUL PORTFÖY MAESTRO SERBEST FON,Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,1.8533,6.4387,8.779,16.2819,26.9168,167.2434,,,3.6158,0.0000,"95,282,599","344,522,708.69",Serbest Fon,13,0.02,,,,,,,,,,,,,,,,,,,,,,0.69,,,,,,,17.7,2.19,,,,,79.27,0.15,100.00
YLO,YAPI KREDİ PORTFÖY ELEKTRİKLİ ARAÇLAR DEĞİŞKEN FON,Menkul Kıymet Yatırım Fonları,Değişken Şemsiye Fonu,-0.6012,-1.5754,9.1976,18.1839,26.8419,,,,2.6534,1.7241,"52,020,561","138,033,337.65",Değişken Fon,"5,899",0.24,,,,,1.51,,,,16.11,,,,,,,,,,,,2.51,,,,3.45,,,,,2.72,,6.61,61.15,,,5.94,100.00
HKH,HEDEF PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Menkul Kıymet Yatırım Fonları,Hisse Senedi Şemsiye Fonu,-5.4987,-7.1147,3.9687,30.9949,26.79,,,,5.8434,-0.8737,"409,968,140","2,395,600,867.46",Hisse Senedi Fonu,"32,774",1.38,,,,,,,,,95.05,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95,100.00
AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,0.2874,4.333,3.212,14.2164,26.4816,100.3763,213.6428,,7.3931,1.1561,"1,822,071","13,470,727.85",Serbest Fon,130,0.00,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.17,,,21.45,100.00
FIT,FİBA PORTFÖY BORÇLANMA ARAÇLARI (TL) FONU,Menkul Kıymet Yatırım Fonları,Borçlanma Araçları Şemsiye Fonu,2.4032,7.7112,15.0476,19.5812,26.3536,79.8422,131.5719,,0.1571,-0.1775,"189,681,119","28,586,236.48",Borçlanma Araçları Fonu,175,0.03,,82.42,5.65,,3.68,,,,,,,,,,,,,,,,,1.96,,,3.25,,,3.04,,,,,,,,,100.00
APT,AK PORTFÖY ORTA VADELI BORÇLANMA ARAÇLARI FONU,Menkul Kıymet Yatırım Fonları,Borçlanma Araçları Şemsiye Fonu,2.4757,8.999,21.3138,22.9927,26.3157,66.7009,110.8037,,0.0938,-0.0543,"1,367,666,174","128,294,961.18",Borçlanma Araçları Fonu,"14,656",0.15,,73.38,,,0.91,,,,,,,,,,,,,,,,,,,,6.61,,,0.37,18.73,,,,,,,,100.00
YSL,YAPI KREDİ PORTFÖY KAR PAYI ÖDEYEN KİRA SERTİFİKALARI KATILIM SERBEST (DÖVİZ) FON,Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,1.665,2.13,4.6931,11.1119,25.7737,,,,34.3633,0.0621,"14,592,928","501,461,637.09",Serbest Fon,455,0.02,,,,,,,,,,,1.35,1.36,,,97.29,,,,,,,,,,,,,,,,,,,,,,100.00
IJT,İŞ PORTFÖY TARIM SERBEST FON,Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,-0.6565,-1.7478,10.0442,16.3789,25.6631,465.8367,,,5.2556,1.0071,"133,878,465","703,612,934.58",Serbest Fon,"2,124",0.03,,,,,,,,,43.24,,,,,,,,,,,,,,,,,,,,1.66,0.55,,54.55,,,,,100.00
GBZ,AZİMUT PORTFÖY EMTİA FON SEPETİ FONU,Menkul Kıymet Yatırım Fonları,Fon Sepeti Şemsiye Fonu,0.7655,1.4909,5.2268,15.5928,25.5931,,,,1.9000,0.3113,"193,646,020","367,924,322.73",Fon Sepeti Fonu,"3,955",0.52,10.98,,,,,,,,,,,,,,,,30.47,,,,,,,,,,,,,0.03,,57.11,,,,1.41,100.00
ICS,ICBC TURKEY PORTFÖY SERBEST (DÖVİZ) FON,Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,1.3148,4.9242,5.4238,15.2124,25.1814,282.898,512.1616,,36.4327,0.0665,"206,117","7,509,408.46",Serbest Fon,32,0.00,,,,50.67,,,,,,,,,,6.60,,,,,,,5.41,,,,,,,,,2.11,,,,,,35.21,100.00
