Fon Kodu,Fon Adı,Fon Tipi,Fon Türü,1 Ay (%),3 Ay (%),6 Ay (%),Yılbaşı (%),1 Yıl (%),3 Yıl (%),5 Yıl (%),İlk Fiyat (TL),Son Fiyat (TL),Günlük Getiri (%),Pay (Adet),Fon Toplam Değer (TL),Kategorisi,Yatırımcı Sayısı (Kişi),Pazar Payı(%),Borsa Yatırım Fonları Katılma Payları(%),Devlet Tahvili(%),Diğer(%),Döviz Cinsi Kamu İç Borçlanma Araçları(%),Finansman Bonosu(%),Gayrimenkul Yatırım Fonları Katılma Payları(%),Girişim Sermayesi Yatırım Fonları Katılma Payları(%),Hazine Bonosu(%),Hisse Senedi(%),Katılma Hesabı(Altın),Katılma Hesabı(TL)(%),Katılma Hesabı(Döviz)(%),Kamu Yurt Dışı Kira Sertifikaları(%),Kamu Dış Borçlanma Araçları(%),Kamu Kira Sertifikaları Döviz (%),Kamu Kira Sertifikaları TL (%),Kıymetli Madenler Cinsinden BYF(%),Kıymetli Madenler Cinsinden İhraç Edilen Kamu Kira Sertifikaları(%),Kıymetli Madenler Cinsinden İhraç Edilen Kamu Borçlanma Araçları(%),Kıymetli Madenler(%),Mevduat Döviz(%),Mevduat (TL)(%),Özel Sektör Dış Borçlanma Araçları(%),Özel Sektör Kira Sertifikaları(%),Özel Sektör Tahvili(%),Özel Sektör Yurt Dışı Kira Sertifikaları(%),Repo(%),Takasbank Para Piyasası(%),Ters-Repo(%),Vadeli İşlemler Nakit Teminatları(%),Varlığa Dayalı Menkul Kıymetler (%),Yabancı Borsa Yatırım Fonları(%),Yabancı Hisse Senedi(%),Yabancı Kamu Borçlanma Araçları(%),Yabancı Özel Sektör Borçlanma Araçları(%),Yatırım Fonları Katılma Payları(%),Toplam(%)
BGL,ANADOLU HAYAT EMEKLİLİK A.Ş. ALTIN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Altın Fonu,4.2258,16.0407,25.5802,41.4005,73.0755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
VGA,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. ALTIN KATILIM EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Altın Katılım Fonu,5.268,17.7362,24.2163,39.6223,72.9832,501.0637,970.8156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
AEA,ANADOLU HAYAT EMEKLİLİK A.Ş. ALTIN KATILIM EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Altın Katılım Fonu,4.966,20.1987,26.8007,40.218,72.9531,512.1964,978.8583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
MEA,METLİFE EMEKLİLİK VE HAYAT A.Ş. ALTIN KATILIM EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Altın Katılım Fonu,5.2158,18.6094,23.0588,42.413,72.5894,502.3857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
BNA,BNP PARİBAS CARDİF EMEKLİLİK A.Ş. ALTIN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Altın Fonu,4.9025,18.2761,21.2682,40.781,72.0946,513.8344,995.4207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
NHA,NN HAYAT VE EMEKLİLİK A.Ş. ALTIN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Altın Fonu,4.5409,18.6844,21.0088,40.2885,71.6524,511.0779,987.6549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
AJC,ANADOLU HAYAT EMEKLİLİK A.Ş. OKS DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Değişken Fon,-0.9402,0.8413,34.5925,56.5555,71.5465,609.6019,947.1501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
GHA,GARANTİ EMEKLİLİK VE HAYAT A.Ş. ALTIN KATILIM EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Altın Katılım Fonu,5.3281,18.7333,23.7778,40.345,71.4291,507.0552,979.2136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
HEA,AXA HAYAT VE EMEKLİLİK A.Ş. ALTIN KATILIM EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Altın Katılım Fonu,5.4398,20.1566,24.6411,40.433,71.4187,501.0403,961.1175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
KEF,KATILIM EMEKLİLİK VE HAYAT A.Ş. ALTIN KATILIM EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Altın Katılım Fonu,5.3505,18.634,23.7276,42.5364,71.0892,500.8621,949.9312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
AEL,AGESA HAYAT VE EMEKLİLİK A.Ş. ALTIN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Altın Fonu,4.6351,18.7025,22.3426,38.1908,70.9812,506.9785,983.987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
FIH,HDI FİBA EMEKLİLİK VE HAYAT A.Ş. OKS ATAK DEĞİŞKEN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Değişken Fon,0.5617,1.7757,29.7495,63.8674,70.7777,548.6442,627.3251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
AJF,ANADOLU HAYAT EMEKLİLİK A.Ş. OKS TEMKİNLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Değişken Fon,2.3383,9.2692,34.5327,50.4086,70.5234,238.4338,362.0937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
AJA,ANADOLU HAYAT EMEKLİLİK A.Ş. OKS AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Değişken Fon,-3.8558,-6.4034,29.2074,57.2737,70.5103,980.6767,1705.6366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
AJB,ANADOLU HAYAT EMEKLİLİK A.Ş. OKS ATAK DEĞİŞKEN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Değişken Fon,-1.4859,-1.2354,33.3462,59.1872,70.3262,842.5835,1429.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
MHO,METLİFE EMEKLİLİK VE HAYAT A.Ş. OKS ATAK DEĞİŞKEN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Değişken Fon,0.8008,0.5825,19.8744,54.6985,70.2746,624.0336,816.4264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
GRA,HDI FİBA EMEKLİLİK VE HAYAT A.Ş. ALTIN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Altın Fonu,5.1875,17.1386,21.9919,40.8608,69.6686,507.06,964.5357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
HES,AXA HAYAT VE EMEKLİLİK A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Hisse Senedi Fonu,-4.3043,-5.8676,29.7336,60.2889,69.2831,1284.6338,2110.6881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
AMZ,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. ALTIN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Altın Fonu,4.7857,17.6442,21.3825,38.89,68.9989,497.0268,954.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
TYJ,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. İKİNCİ YAŞAM DÖNGÜSÜ EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Yaşam Döngüsü/Hedef Fon,2.227,6.3647,26.142,49.0171,68.9532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
FFZ,HDI FİBA EMEKLİLİK VE HAYAT A.Ş. INVEO PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Fon Sepeti Fonu,2.1082,7.074,22.1828,41.5588,68.6619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
AHL,ANADOLU HAYAT EMEKLİLİK A.Ş. AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Değişken Fon,-4.0407,-6.0761,29.8571,54.6018,68.4475,1017.0816,1592.3472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
FFC,HDI FİBA EMEKLİLİK VE HAYAT A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Değişken Fon,-0.6675,0.3925,5.2711,37.5588,68.3507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
BPR,BNP PARİBAS CARDİF EMEKLİLİK A.Ş. OKS MUHAFAZAKAR DEĞİŞKEN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Değişken Fon,2.7244,7.8554,33.4707,49.4055,67.8966,228.0511,328.2066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
AH0,ANADOLU HAYAT EMEKLİLİK A.Ş. ATAK DEĞİŞKEN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Değişken Fon,-2.7815,-1.0361,30.8115,52.5656,66.9585,823.2937,1180.6715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
AH5,ANADOLU HAYAT EMEKLİLİK A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Hisse Senedi Fonu,-4.3996,-6.0684,29.3888,56.3912,66.7516,1062.2893,1653.8179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
AH9,ANADOLU HAYAT EMEKLİLİK A.Ş. DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Değişken Fon,-1.5589,1.1551,29.4476,47.9662,63.9768,566.7648,791.0409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
MHR,METLİFE EMEKLİLİK VE HAYAT A.Ş. OKS AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Değişken Fon,-0.7914,-2.4903,24.1514,53.3823,63.5431,879.4025,1293.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
KJM,KATILIM EMEKLİLİK VE HAYAT A.Ş. KIYMETLİ MADENLER KATILIM EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Katılım Fonu,5.9291,12.9319,21.9013,42.2436,62.7684,417.6629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
VGD,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KIYMETLİ MADENLER KATILIM EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Katılım Fonu,4.8082,15.1733,20.286,35.8104,62.487,235.3018,319.8323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
MHM,METLİFE EMEKLİLİK VE HAYAT A.Ş. OKS TEMKİNLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Değişken Fon,3.6711,10.1503,33.0507,45.7018,62.0323,304.1631,419.3055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
ALJ,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. OKS AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Değişken Fon,-2.3715,-5.3094,24.5684,49.8495,61.4526,868.6557,1285.4148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
GHN,GARANTİ EMEKLİLİK VE HAYAT A.Ş. OKS DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Değişken Fon,0.4545,2.5348,26.5374,51.7461,61.1909,533.0362,795.3551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
BHT,ANADOLU HAYAT EMEKLİLİK A.Ş. TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Hisse Senedi Fonu,-5.8783,-2.3137,-2.4226,37.2473,60.2266,565.6809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
VVA,AGESA HAYAT VE EMEKLİLİK A.Ş. OKS AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Değişken Fon,-2.3961,-5.5087,24.2055,48.8659,59.3427,861.6781,1297.1708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
AVE,AGESA HAYAT VE EMEKLİLİK A.Ş. AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Değişken Fon,-2.5688,-5.5228,24.0349,48.7372,58.9308,855.6454,1303.9298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
BPH,BNP PARİBAS CARDİF EMEKLİLİK A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Hisse Senedi Fonu,-3.7741,-5.5846,28.7885,52.8775,58.7357,1004.7104,1616.7551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
IEH,NN HAYAT VE EMEKLİLİK A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Hisse Senedi Fonu,-3.7785,-5.6624,28.7441,52.6417,58.3883,998.0447,1602.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
TML,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. BİRİNCİ YAŞAM DÖNGÜSÜ EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Yaşam Döngüsü/Hedef Fon,0.0383,2.4084,19.8357,41.0382,57.6105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
YZD,ALLİANZ YAŞAM VE EMEKLİLİK A.Ş. İKİNCİ FON SEPETİ EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Fon Sepeti Fonu,1.226,4.6402,21.3737,41.249,57.4959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
CHG,QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. OKS AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Değişken Fon,-5.1146,-10.4354,23.9487,54.4314,57.0067,1288.3254,2693.4399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
BZY,BNP PARİBAS CARDİF EMEKLİLİK A.Ş. TEKNOLOJİ SEKTÖRÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Değişken Fon,-2.1678,-2.1301,2.7144,35.3813,56.6564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
AH8,ANADOLU HAYAT EMEKLİLİK A.Ş. TEMKİNLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Değişken Fon,1.8296,6.7922,24.5392,35.9627,56.4564,204.1397,281.9686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
GCT,GARANTİ EMEKLİLİK VE HAYAT A.Ş. BİRİNCİ FON SEPETİ EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Fon Sepeti Fonu,1.875,5.317,23.8735,40.4843,56.3571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
ABE,ANADOLU HAYAT EMEKLİLİK A.Ş.S&amp;P 500 YABANCI BYF FON SEPETİ EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Fon Sepeti Fonu,2.2827,7.3934,15.8375,33.9874,56.2514,263.7451,540.8163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
VVM,AGESA HAYAT VE EMEKLİLİK A.Ş. OKS MUHAFAZAKAR DEĞİŞKEN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Değişken Fon,3.0122,8.0215,26.0229,39.7551,56.2223,195.986,287.5386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
GCN,GARANTİ EMEKLİLİK VE HAYAT A.Ş. METAVERSE VE TEKNOLOJİLER HİSSE SENEDİ EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Hisse Senedi Fonu,-2.5433,-1.4077,1.3383,36.8589,56.1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
AJV,AXA HAYAT VE EMEKLİLİK A.Ş. OKS DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Değişken Fon,0.4654,2.3085,24.3276,46.6059,56.0763,435.7607,621.5009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
VEP,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. OKS TEMKİNLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Değişken Fon,3.4602,9.2116,22.5141,45.4942,55.8369,211.3758,311.1332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
ALR,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. KARMA EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Karma Fon,0.8192,2.6127,17.0339,37.185,55.6846,456.1397,1011.4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
NHM,NN HAYAT VE EMEKLİLİK A.Ş. QINVEST PORTFÖY TEMKİNLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Değişken Fon,2.8416,11.9083,23.6574,35.8711,55.6838,187.1082,287.714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
GHM,GARANTİ EMEKLİLİK VE HAYAT A.Ş. OKS DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Değişken Fon,-0.2006,-0.2901,24.4795,48.9098,55.5615,687.6152,1052.4263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
MZP,AGESA HAYAT VE EMEKLİLİK A.Ş. ÜÇÜNCÜ FON SEPETİ EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Fon Sepeti Fonu,0.1827,2.1116,22.2673,43.333,55.26,362.0455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
FIK,HDI FİBA EMEKLİLİK VE HAYAT A.Ş. KARE PORTFÖY FON SEPETİ EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Fon Sepeti Fonu,1.2532,5.5047,19.6964,37.964,55.1614,405.9952,675.322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
FJG,HDI FİBA EMEKLİLİK VE HAYAT A.Ş.  RE-PIE PORTFÖY DEĞİŞKEN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Değişken Fon,2.2211,7.4759,26.3028,41.4415,55.0579,566.4547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
VVE,AGESA HAYAT VE EMEKLİLİK A.Ş. OKS DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Değişken Fon,0.7433,2.7626,25.7824,43.4428,55.0088,450.4269,659.5812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
AFJ,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. OKS TEMKİNLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Değişken Fon,2.994,8.2365,25.4288,39.4425,54.965,192.7833,284.3738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
AEG,AGESA HAYAT VE EMEKLİLİK A.Ş. MUHAFAZAKAR DEĞİŞKEN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Değişken Fon,2.4155,7.0613,23.2378,37.9069,54.8706,198.3096,289.8514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
GHO,GARANTİ EMEKLİLİK VE HAYAT A.Ş. ÜÇÜNCÜ DEĞİŞKEN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Değişken Fon,2.4192,7.0915,15.8805,31.8694,54.3045,359.4454,745.0544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
VVD,AGESA HAYAT VE EMEKLİLİK A.Ş. OKS DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Değişken Fon,0.1486,0.7417,24.5015,43.8362,54.2177,534.5632,781.2977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
MEY,METLİFE EMEKLİLİK VE HAYAT A.Ş. SÜRDÜRÜLEBİLİRLİK FON SEPETİ EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Fon Sepeti Fonu,-0.446,-0.3791,22.089,43.093,54.1533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
BHS,ANADOLU HAYAT EMEKLİLİK A.Ş. SÜRDÜRÜLEBİLİRLİK  HİSSE SENEDİ EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Hisse Senedi Fonu,-2.6256,-2.5383,19.4185,41.3461,53.8817,734.3339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
ANP,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. OKS DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Değişken Fon,0.0471,0.581,24.7788,43.8277,53.6114,531.6709,774.7255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
AVO,AGESA HAYAT VE EMEKLİLİK A.Ş. ÖZEL SEKTÖR BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Özel Sektör Borçlanma Araçları Fonu,4.0023,11.7375,25.2905,36.9985,53.6093,143.1825,217.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
ANJ,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. OKS DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Değişken Fon,0.6822,2.8331,26.1239,44.248,53.3502,439.3001,636.8506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
BPN,BNP PARİBAS CARDİF EMEKLİLİK A.Ş. OKS DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Değişken Fon,-1.6872,-1.6994,23.3872,46.0802,53.3084,626.0582,888.0629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
MZN,AGESA HAYAT VE EMEKLİLİK A.Ş. BİRİNCİ FON SEPETİ EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Fon Sepeti Fonu,2.037,7.8102,23.2275,37.8296,53.1049,216.3668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
FEO,HDI FİBA EMEKLİLİK VE HAYAT A.Ş. İSTANBUL PORTFÖY DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Değişken Fon,1.0702,4.2525,16.924,37.1639,52.8298,472.7124,840.3602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
RZN,AXA HAYAT VE EMEKLİLİK A.Ş. FON SEPETİ EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Fon Sepeti Fonu,1.0157,5.7873,20.8747,35.8997,52.7385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
AVR,AGESA HAYAT VE EMEKLİLİK A.Ş. TEKNOLOJİ SEKTÖRÜ YABANCI DEĞİŞKEN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Değişken Fon,-0.334,-0.5708,5.2582,20.3004,52.6716,313.8746,646.6794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
FEA,HDI FİBA EMEKLİLİK VE HAYAT A.Ş. ATLAS PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Özel Sektör Borçlanma Araçları Fonu,3.6469,11.3396,24.8891,37.1776,52.6285,136.6897,271.9906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
AVB,AGESA HAYAT VE EMEKLİLİK A.Ş. KAMU DIŞ BORÇLANMA ARAÇLARI (ABD DOLARI 5-15 YIL VADELİ) EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Dış Borçlanma Araçları Fonu,2.7487,10.0482,16.9705,25.5213,52.536,380.4968,719.4568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
MZL,AGESA HAYAT VE EMEKLİLİK A.Ş. İKİNCİ FON SEPETİ EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Fon Sepeti Fonu,1.0948,5.3475,21.2979,38.0615,52.3053,269.2682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
GHT,GARANTİ EMEKLİLİK VE HAYAT A.Ş. MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Değişken Fon,2.6367,6.3241,25.1166,36.1416,52.291,182.664,281.9427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
CHM,QNB SAĞLIK HAYAT  SİGORTA VE EMEKLİLİK A.Ş. DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU,Emeklilik Fonları,Değişken Fon,-1.5841,-2.8633,22.4224,45.8495,52.2767,810.941,1400.7365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
